pageid,title,wikidata,label
392367,Isaias Afwerki,Q57348,Isaias Afwerki
4623434,Filipos Woldeyohannes,Q5448674,Filipos Woldeyohannes
4624727,Ali Abdu Ahmed,Q4724540,Ali Abdu Ahmed
6217881,Sebhat Ephrem,Q11999779,Sebhat Ephrem
6806874,Fozia Hashim,Q3080243,Fozia Hashim
6843282,Arefaine Berhe,Q4788748,Arefaine Berhe
6843503,Osman Saleh Mohammed,Q58163,Osman Saleh Mohammed
6843648,Tesfai Ghebreselassie,Q7705455,Tesfai Ghebreselassie
6844639,Ahmed Haj Ali,Q4695838,Ahmed Haj Ali
6844787,Askalu Menkerios,Q4807116,Askalu Menkerios
6845285,Woldemichael Abraha,Q8029742,Woldemichael Abraha
6845438,Gergis Teklemichael,Q5550601,Gergis Teklemichael
6845486,Amna Nurhusein,Q4747349,Amna Nurhusein
6845596,Abraha Asfaha,Q4668714,Abraha Asfaha
8896102,Semere Russom,Q7449239,Semere Russom
9134199,Berhane Habtemariam,Q4891779,Berhane Habtemariam
9630933,Selma Hassan,Q3380461,Selma Hassan
