id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q19108193,President of Eritrea,Q986,Q986,,Q81706,,,,,
Q54855441,Minister of Defence of Eritrea,Q986,Q986,,,,,,,
Q54886726,Minister of Finance of Eritrea,Q986,Q986,,,,,,,
Q54889314,Minister of Foreign Affairs of Eritrea,Q986,Q986,,,,,,,
Q54855509,Minister of Health of Eritrea,Q986,Q986,,,,,,,
Q54856887,Minister of Labour and Social Welfare of Eritrea,Q986,Q986,,,,,,,
Q54887633,Minister of Local Government of Eritrea,Q986,Q986,,,,,,,
Q54856066,Minister of Tourism of Eritrea,Q986,Q986,,,,,,,
Q54856252,Minister of Trade & Industry of Eritrea,Q986,Q986,,,,,,,
