position,title
Q19108193,President
Q110535812,Minister of Agriculture
Q54855441,Minister of Defence
Q110535771,Minsiter of Education
Q110535792,Minister of Energy and Mining
Q54886726,Minister of Finance
Q110535801,Minister of Fisheries
Q54889314,Minister of Foreign Affairs
Q54855509,Minister of Health
Q110535805,Minister of Information
Q110535807,Minister of Justice
Q54856887,Minister of Labour and Social Welfare
Q110535813,"Minister of Land, Water, and the Environment"
Q54887633,Minister of Local Government
Q110535824,Minister for National Development
Q110535829,Minister of Public Works
Q54856066,Minister of Tourism
Q54856252,Minister of Trade & Industry
Q110535832,Minister of Transport and Communications
Q110535606,Governor of the Central Bank
Q107555784,Chief of Staff of the Armed Forces
